timestamp,temperature,humidity,pressure
2026-01-01 08:00:00,22.5,45.2,1013.2
2026-01-01 08:05:00,23.1,46.8,1012.8
2026-01-01 08:10:00,23.8,44.9,1013.5
2026-01-01 08:15:00,24.2,47.1,1012.1
2026-01-01 08:20:00,,49.3,1011.8
2026-01-01 08:25:00,25.1,48.7,1013.9
2026-01-01 08:30:00,25.8,invalid,1012.5
2026-01-01 08:35:00,26.3,49.2,1014.1
2026-01-01 08:40:00,26.9,50.1,1013.0
2026-01-01 08:45:00,27.4,51.3,1012.7
2026-01-01 08:50:00,28.0,52.0,1013.6
2026-01-01 08:55:00,28.5,53.1,1012.9
2026-01-01 09:00:00,29.1,54.2,1014.3
2026-01-01 09:05:00,29.8,55.0,1013.1
2026-01-01 09:10:00,30.2,56.3,1012.4
2026-01-01 09:15:00,30.7,57.1,1013.8
2026-01-01 09:20:00,31.2,58.0,1012.6
2026-01-01 09:25:00,31.9,59.2,1014.0
2026-01-01 09:30:00,32.5,60.1,1013.3
2026-01-01 09:35:00,33.0,61.4,1012.2
